product_name,category,sale_date,quantity,unit_price
Kesar Jalebi,Sweets,2026-05-01,225,150.0
Spongy Rosogolla,Sweets,2026-05-01,171,180.0
Premium Kaju Katli,Premium,2026-05-01,78,800.0
Motichoor Laddoo,Sweets,2026-05-01,174,200.0
Kesar Jalebi,Sweets,2026-05-02,194,150.0
Spongy Rosogolla,Sweets,2026-05-02,146,180.0
Premium Kaju Katli,Premium,2026-05-02,102,800.0
Motichoor Laddoo,Sweets,2026-05-02,184,200.0
Kesar Jalebi,Sweets,2026-05-03,277,150.0
Spongy Rosogolla,Sweets,2026-05-03,187,180.0
Premium Kaju Katli,Premium,2026-05-03,95,800.0
Motichoor Laddoo,Sweets,2026-05-03,139,200.0
Kesar Jalebi,Sweets,2026-05-04,90,150.0
Spongy Rosogolla,Sweets,2026-05-04,97,180.0
Premium Kaju Katli,Premium,2026-05-04,40,800.0
Motichoor Laddoo,Sweets,2026-05-04,77,200.0
Kesar Jalebi,Sweets,2026-05-05,89,150.0
Spongy Rosogolla,Sweets,2026-05-05,83,180.0
Premium Kaju Katli,Premium,2026-05-05,60,800.0
Motichoor Laddoo,Sweets,2026-05-05,81,200.0
Kesar Jalebi,Sweets,2026-05-06,86,150.0
Spongy Rosogolla,Sweets,2026-05-06,75,180.0
Premium Kaju Katli,Premium,2026-05-06,42,800.0
Motichoor Laddoo,Sweets,2026-05-06,66,200.0
Kesar Jalebi,Sweets,2026-05-07,102,150.0
Spongy Rosogolla,Sweets,2026-05-07,92,180.0
Premium Kaju Katli,Premium,2026-05-07,49,800.0
Motichoor Laddoo,Sweets,2026-05-07,76,200.0
Kesar Jalebi,Sweets,2026-05-08,189,150.0
Spongy Rosogolla,Sweets,2026-05-08,196,180.0
Premium Kaju Katli,Premium,2026-05-08,121,800.0
Motichoor Laddoo,Sweets,2026-05-08,190,200.0
Kesar Jalebi,Sweets,2026-05-09,267,150.0
Spongy Rosogolla,Sweets,2026-05-09,204,180.0
Premium Kaju Katli,Premium,2026-05-09,96,800.0
Motichoor Laddoo,Sweets,2026-05-09,173,200.0
Kesar Jalebi,Sweets,2026-05-10,203,150.0
Spongy Rosogolla,Sweets,2026-05-10,157,180.0
Premium Kaju Katli,Premium,2026-05-10,98,800.0
Motichoor Laddoo,Sweets,2026-05-10,158,200.0
Kesar Jalebi,Sweets,2026-05-11,102,150.0
Spongy Rosogolla,Sweets,2026-05-11,83,180.0
Premium Kaju Katli,Premium,2026-05-11,51,800.0
Motichoor Laddoo,Sweets,2026-05-11,77,200.0
Kesar Jalebi,Sweets,2026-05-12,124,150.0
Spongy Rosogolla,Sweets,2026-05-12,74,180.0
Premium Kaju Katli,Premium,2026-05-12,49,800.0
