product_name,category,sale_date,quantity,unit_price,region
Renault Duster,Mid SUV,2026-05-01,3,1050000.0,Vizag
Mahindra XUV700,Premium SUV,2026-05-01,6,1400000.0,Vizag
Tata Punch,Compact SUV,2026-05-01,5,650000.0,Vizag
Mahindra XUV700,Premium SUV,2026-05-02,4,1400000.0,Bengaluru
Hyundai i20,Premium Hatchback,2026-05-02,5,750000.0,Bengaluru
Suzuki Vitara Brezza,SUV,2026-05-02,8,850000.0,Trichy
Tata Punch,Compact SUV,2026-05-02,5,650000.0,Trichy
Renault Duster,Mid SUV,2026-05-02,4,1050000.0,Hyderabad
Tata Nexon,Compact SUV,2026-05-02,5,800000.0,Chennai
Renault Duster,Mid SUV,2026-05-03,2,1050000.0,Vizag
Hyundai i20,Premium Hatchback,2026-05-03,6,750000.0,Chennai
Tata Punch,Compact SUV,2026-05-03,4,650000.0,Gurgaon
Tata Nexon,Compact SUV,2026-05-03,3,800000.0,Trichy
Suzuki Vitara Brezza,SUV,2026-05-03,7,850000.0,Trichy
Tata Punch,Compact SUV,2026-05-04,2,650000.0,Gurgaon
Renault Duster,Mid SUV,2026-05-04,6,1050000.0,Vizag
Mahindra XUV700,Premium SUV,2026-05-04,5,1400000.0,Bengaluru
Suzuki Vitara Brezza,SUV,2026-05-04,5,850000.0,Vizag
Hyundai i20,Premium Hatchback,2026-05-04,8,750000.0,Vizag
Hyundai i20,Premium Hatchback,2026-05-05,6,750000.0,Hyderabad
Mahindra XUV700,Premium SUV,2026-05-05,8,1400000.0,Hyderabad
Renault Duster,Mid SUV,2026-05-05,8,1050000.0,Bengaluru
Suzuki Vitara Brezza,SUV,2026-05-05,7,850000.0,Vizag
Tata Nexon,Compact SUV,2026-05-05,7,800000.0,Bengaluru
Tata Punch,Compact SUV,2026-05-05,7,650000.0,Vizag
Hyundai i20,Premium Hatchback,2026-05-06,7,750000.0,Gurgaon
Suzuki Vitara Brezza,SUV,2026-05-06,7,850000.0,Vizag
Tata Nexon,Compact SUV,2026-05-06,4,800000.0,Vizag
Tata Punch,Compact SUV,2026-05-06,5,650000.0,Trichy
Renault Duster,Mid SUV,2026-05-06,4,1050000.0,Vizag
Mahindra XUV700,Premium SUV,2026-05-06,8,1400000.0,Trichy
Hyundai i20,Premium Hatchback,2026-05-07,2,750000.0,Hyderabad
Tata Nexon,Compact SUV,2026-05-07,7,800000.0,Vizag
Suzuki Vitara Brezza,SUV,2026-05-07,5,850000.0,Vizag
Mahindra XUV700,Premium SUV,2026-05-07,5,1400000.0,Chennai
Renault Duster,Mid SUV,2026-05-07,3,1050000.0,Chennai
Tata Punch,Compact SUV,2026-05-07,7,650000.0,Gurgaon
Mahindra XUV700,Premium SUV,2026-05-08,4,1400000.0,Gurgaon
Hyundai i20,Premium Hatchback,2026-05-08,8,750000.0,Bengaluru
Tata Nexon,Compact SUV,2026-05-08,5,800000.0,Trichy
Renault Duster,Mid SUV,2026-05-08,7,1050000.0,Vizag
Tata Punch,Compact SUV,2026-05-08,4,650000.0,Gurgaon
Suzuki Vitara Brezza,SUV,2026-05-08,3,850000.0,Gurgaon
Tata Punch,Compact SUV,2026-05-09,7,650000.0,Gurgaon
Renault Duster,Mid SUV,2026-05-09,3,1050000.0,Gurgaon
Hyundai i20,Premium Hatchback,2026-05-09,2,750000.0,Bengaluru
Suzuki Vitara Brezza,SUV,2026-05-09,2,850000.0,Gurgaon
Tata Nexon,Compact SUV,2026-05-09,6,800000.0,Vizag
Mahindra XUV700,Premium SUV,2026-05-09,8,1400000.0,Bengaluru
Suzuki Vitara Brezza,SUV,2026-05-10,4,850000.0,Trichy
