product_name,category,sale_date,quantity,unit_price
Kesar Jalebi,Sweets,2026-05-01,120,150.00,
Spongy Rosogolla,Sweets,2026-05-01,95,180.00,
Kaju Katli,Premium,2026-05-01,45,800.00,
Motichoor Laddoo,Sweets,2026-05-01,80,200.00,
Kesar Jalebi,Sweets,2026-05-02,250,150.00,
Spongy Rosogolla,Sweets,2026-05-02,210,180.00,
Kaju Katli,Premium,2026-05-02,110,800.00,
Motichoor Laddoo,Sweets,2026-05-03,140,200.00,
Kesar Jalebi,Sweets,2026-05-03,90,150.00,
Spongy Rosogolla,Sweets,2026-05-04,65,180.00,
Kaju Katli,Premium,2026-05-05,30,800.00,
Kesar Jalebi,Sweets,2026-05-06,115,150.00,
Spongy Rosogolla,Sweets,2026-05-07,130,180.00,
Motichoor Laddoo,Sweets,2026-05-07,95,200.00,
Kesar Jalebi,Sweets,2026-05-08,310,150.00,
Spongy Rosogolla,Sweets,2026-05-09,280,180.00,
Kaju Katli,Premium,2026-05-09,150,800.00,
Motichoor Laddoo,Sweets,2026-05-10,340,200.00,
Kesar Jalebi,Sweets,2026-05-10,180,150.00,
Spongy Rosogolla,Sweets,2026-05-10,195,180.00,
